Award,Prize,Player,Team
Fantasy player of the season,"₹10 lakh(US$11,000) and trophy",Sai Sudharsan,Gujarat Titans
Most Valuable Player,"₹10 lakh(US$11,000) and trophy",Suryakumar Yadav,Mumbai Indians
Orange Cap (most runs),"₹10 lakh(US$11,000)",Sai Sudharsan,Gujarat Titans
Purple Cap (most wickets),"₹10 lakh(US$11,000)",Prasidh Krishna,Gujarat Titans
Emerging player of the season,"₹10 lakh(US$11,000)",Sai Sudharsan,Gujarat Titans
Most fours,"₹10 lakh(US$11,000) and trophy",Sai Sudharsan,Gujarat Titans
Most sixes,"₹10 lakh(US$11,000) and trophy",Nicholas Pooran,Lucknow Super Giants
Most dot balls,"₹10 lakh(US$11,000) and trophy",Mohammed Siraj,Gujarat Titans
Highest batting strike rate,"₹10 lakh(US$11,000), trophy and a car",Vaibhav Sooryavanshi,Rajasthan Royals
Catch of the season,"₹10 lakh(US$11,000) and trophy",Kamindu Mendis,Sunrisers Hyderabad
Best pitch,"₹50 lakh(US$53,000)","Arun Jaitley Cricket Stadium,Delhi",—N/a
Team fairplay award,"₹10 lakh(US$11,000)",—N/a,Chennai Super Kings
Runners-up,₹12.5 crore(US$1.3 million),—N/a,Punjab Kings
Champions,₹20 crore(US$2.1 million) and IPL trophy,—N/a,Royal Challengers Bengaluru
