Visitor team →,CSK,DC,GT,KKR,LSG,MI,PBKS,RR,RCB,SRH
Chennai Super Kings,,Delhi25 runs,,Kolkata8 wickets,,Chennai4 wickets,Punjab4 wickets,Rajasthan6 wickets,Bengaluru50 runs,Hyderabad5 wickets
Delhi Capitals,,,Gujarat10 wickets,Kolkata14 runs,Delhi1 wicket,Mumbai12 runs,,DelhiSuper Over,Bengaluru6 wickets,Delhi7 wickets
Gujarat Titans,Chennai83 runs,Gujarat7 wickets,,,Lucknow33 runs,Gujarat36 runs,Punjab11 runs,Gujarat58 runs,,Gujarat38 runs
Kolkata Knight Riders,Chennai2 wickets,,Gujarat39 runs,,Lucknow4 runs,,Matchabandoned,Kolkata1 run,Bengaluru7 wickets,Kolkata80 runs
Lucknow Super Giants,Chennai5 wickets,Delhi8 wickets,Lucknow6 wickets,,,Lucknow12 runs,Punjab8 wickets,,Bengaluru6 wickets,Hyderabad6 wickets
Mumbai Indians,Mumbai9 wickets,Mumbai59 runs,Gujarat3 wickets(DLS),Mumbai8 wickets,Mumbai54 runs,,,,Bengaluru12 runs,Mumbai4 wickets
Punjab Kings,Punjab18 runs,Delhi6 wickets,,Punjab16 runs,Punjab37 runs,Punjab7 wickets,,Rajasthan50 runs,Bengaluru7 wickets,
Rajasthan Royals,Rajasthan6 runs,,Rajasthan8 wickets,Kolkata8 wickets,Lucknow2 runs,Mumbai100 runs,Punjab10 runs,,Bengaluru9 wickets,
Royal Challengers Bengaluru,Bengaluru2 runs,Delhi6 wickets,Gujarat8 wickets,Matchabandoned,,,Punjab5 wickets,Bengaluru11 runs,,Hyderabad42 runs
Sunrisers Hyderabad,,Matchabandoned,Gujarat7 wickets,Hyderabad110 runs,Lucknow5 wickets,Mumbai7 wickets,Hyderabad8 wickets,Hyderabad44 runs,,
